assists,value_form,team,goals_scored,team_name,red_cards,event_total,form,total_points,second_name,event_points,ea_index,type_name,cost_change_start_fall,first_name,transfers_in,minutes,transfers_out,cost_change_start,transfers_out_event,selected_by_percent,selected_by,bps,ep_next,value_season,dreamteam_count,web_name,now_cost,penalties_saved,cost_change_event_fall,ep_this,team_id,event_explain,goals_conceded,id,cost_change_event,clean_sheets,transfers_in_event,yellow_cards,penalties_missed,code,element_type,team_code,saves,own_goals,bonus,status,points_per_game
0,0.0,1,0,Arsenal,0,0,0.0,0,Walcott,0,0,Midfielder,0,Theo,388,0,884,0,226,0.1,0.1,0,0.0,0.0,0,Walcott,90,0,0,0.0,1,"[['Minutes played', 0, 0]]",0,11,0,0,290,0,0,20467,3,3,0,0,0,i,0.0
0,0.8,1,2,Arsenal,0,2,7.0,21,Ramsey,2,83,Midfielder,-1,Aaron,318104,270,54983,1,31644,46.7,46.7,76,7.0,2.3,1,Ramsey,91,0,0,7.0,1,"[['Minutes played', 90, 2]]",4,12,0,0,41614,0,0,41792,3,3,0,0,5,a,7.0
0,0.0,1,0,Arsenal,0,0,0.0,0,Rosicky,0,0,Midfielder,1,Tomas,1585,0,11986,-1,2420,0.7,0.7,0,0.0,0.0,0,Rosicky,49,0,0,0.0,1,"[['Minutes played', 0, 0]]",0,13,0,0,306,0,0,8597,3,3,0,0,0,a,0.0
0,0.2,1,0,Arsenal,0,0,1.0,3,Arteta,0,18,Midfielder,1,Mikel,8174,90,46856,-1,7469,1.4,1.4,22,0.8,0.6,0,Arteta,54,0,0,0.0,1,"[['Minutes played', 0, 0]]",1,14,0,0,110,0,0,8758,3,3,0,0,1,d,3.0
0,0.2,1,0,Arsenal,0,1,1.3,4,Oxlade-Chamberlain,1,-3,Midfielder,0,Alex,9145,109,17611,0,5770,1.5,1.5,12,1.3,0.6,0,Chamberlain,65,0,0,1.3,1,"[['Minutes played', 14, 1]]",2,15,0,0,533,0,0,81880,3,3,0,0,0,a,1.3
1,0.3,1,0,Arsenal,0,2,2.3,7,Cazorla,2,43,Midfielder,1,Santiago,6473,183,43648,-1,8724,3.0,3.0,56,2.3,0.8,0,Cazorla,84,0,0,2.3,1,"[['Minutes played', 76, 2]]",2,16,0,0,1155,1,0,19524,3,3,0,0,0,a,2.3
0,0.0,1,0,Arsenal,0,0,0.0,0,Diaby,0,0,Midfielder,1,Vassiriki,165,0,880,-1,184,0.1,0.1,0,0.0,0.0,0,Diaby,49,0,0,0.0,1,"[['Minutes played', 0, 0]]",0,17,0,0,34,0,0,28566,3,3,0,0,0,a,0.0
0,0.0,1,0,Arsenal,0,0,0.0,0,Gnabry,0,0,Midfielder,1,Serge,36,0,404,-1,62,0.0,0.0,0,0.0,0.0,0,Gnabry,49,0,0,0.0,1,"[['Minutes played', 0, 0]]",0,18,0,0,17,0,0,133798,3,3,0,0,0,i,0.0
0,0.0,1,0,Arsenal,0,0,0.0,0,Zelalem,0,0,Midfielder,1,Gedion,80,0,321,-1,64,0.0,0.0,0,0.0,0.0,0,Zelalem,49,0,0,0.0,1,"[['Minutes played', 0, 0]]",0,19,0,0,9,0,0,158870,3,3,0,0,0,a,0.0
0,0.2,1,0,Arsenal,0,2,1.0,3,Flamini,2,16,Midfielder,1,Mathieu,1625,180,3132,-1,688,0.3,0.3,26,1.0,0.6,0,Flamini,49,0,0,1.0,1,"[['Minutes played', 90, 2]]",3,20,0,0,612,1,0,18155,3,3,0,0,0,a,1.5
0,0.1,1,0,Arsenal,0,2,1.3,4,Özil,2,32,Midfielder,0,Mesut,9977,180,27380,0,7858,2.4,2.4,27,1.0,0.4,0,Özil,90,0,0,1.3,1,"[['Minutes played', 90, 2]]",3,21,0,0,781,0,0,37605,3,3,0,0,0,d,2.0
0,0.0,1,0,Arsenal,0,0,0.0,0,Miyaichi,0,0,Midfielder,0,Ryo,80,0,698,0,163,0.0,0.0,0,0.0,0.0,0,Miyaichi,45,0,0,0.0,1,"[['Minutes played', 0, 0]]",0,22,0,0,9,0,0,92372,3,3,0,0,0,u,0.0
1,0.5,1,1,Arsenal,0,10,5.3,16,Sánchez,10,56,Midfielder,1,Alexis,41726,225,197744,-1,24655,14.3,14.3,47,5.3,1.5,0,Sánchez,104,0,0,5.3,1,"[['Bonus', 3, 3], ['Minutes played', 90, 2], ['Goals scored', 1, 5]]",4,23,0,0,14365,0,0,37265,3,3,0,0,3,a,5.3
0,0.0,1,0,Arsenal,0,1,0.3,1,Podolski,1,1,Forward,1,Lukas,3502,14,8019,-1,1708,0.6,0.6,2,0.3,0.1,0,Podolski,74,0,0,0.3,1,"[['Minutes played', 14, 1]]",0,24,0,0,683,0,0,17733,4,3,0,0,0,a,1.0
0,0.2,1,1,Arsenal,0,0,2.0,6,Giroud,0,19,Forward,3,Olivier,11022,74,625831,-3,79637,5.4,5.4,23,0.0,0.7,0,Giroud,82,0,1,0.0,1,"[['Minutes played', 0, 0]]",0,25,-1,0,96,0,0,44346,4,3,0,0,0,i,3.0
1,0.5,1,0,Arsenal,0,5,2.3,7,Sanogo,5,30,Forward,1,Yaya,16789,137,35923,-1,7595,1.8,1.8,10,2.3,1.4,0,Sanogo,49,0,0,2.3,1,"[['Assists', 1, 3], ['Minutes played', 76, 2]]",2,26,0,0,4936,0,0,80711,4,3,0,0,0,a,3.5
0,0.0,1,0,Arsenal,0,0,0.0,0,Akpom,0,0,Forward,1,Chuba,216,0,284,-1,61,0.0,0.0,0,0.0,0.0,0,Akpom,49,0,1,0.0,1,"[['Minutes played', 0, 0]]",0,27,-1,0,27,0,0,147675,4,3,0,0,0,a,0.0
0,0.1,1,0,Arsenal,0,0,0.3,1,Campbell,0,2,Forward,2,Joel,2987,17,15544,-2,3812,0.7,0.7,4,0.3,0.2,0,Campbell,53,0,1,0.3,1,"[['Minutes played', 0, 0]]",0,28,-1,0,265,0,0,99127,4,3,0,0,0,a,1.0
0,0.0,2,0,Aston Villa,0,0,0.0,0,Given,0,0,Goalkeeper,0,Shay,42450,0,19405,0,5202,8.4,8.4,0,0.0,0.0,0,Given,40,0,0,0.0,2,"[['Minutes played', 0, 0]]",0,29,0,0,11816,0,0,1822,1,7,0,0,0,a,0.0
0,1.0,2,0,Aston Villa,0,1,4.7,14,Guzan,1,39,Goalkeeper,0,Bradley,156335,270,25682,0,10209,10.2,10.2,58,4.7,3.1,1,Guzan,45,0,0,4.7,2,"[['Yellow cards', 1, -1], ['Minutes played', 90, 2]]",1,30,0,2,33495,1,0,41705,1,7,8,0,0,a,4.7
0,0.1,2,0,Aston Villa,0,0,0.3,1,Baker,0,1,Defender,1,Nathan,332,9,2065,-1,401,0.2,0.2,3,0.3,0.2,0,Baker,44,0,0,0.3,2,"[['Minutes played', 0, 0]]",0,31,0,0,51,0,0,52477,2,7,0,0,0,a,1.0
0,0.0,2,0,Aston Villa,0,0,0.0,0,Clark,0,0,Defender,1,Ciaran,239,0,1616,-1,313,0.2,0.2,0,0.0,0.0,0,Clark,44,0,0,0.0,2,"[['Minutes played', 0, 0]]",0,32,0,0,34,0,0,58845,2,7,0,0,0,a,0.0
0,0.0,2,0,Aston Villa,0,0,0.0,0,Lowton,0,0,Defender,1,Matthew,188,0,1501,-1,256,0.1,0.1,0,0.0,0.0,0,Lowton,44,0,0,0.0,2,"[['Minutes played', 0, 0]]",0,33,0,0,24,0,0,68983,2,7,0,0,0,a,0.0
0,1.2,2,0,Aston Villa,0,2,5.3,16,Vlaar,2,32,Defender,-1,Ron,211615,270,97197,1,40205,25.7,25.7,54,4.0,3.5,0,Vlaar,46,0,0,4.0,2,"[['Minutes played', 90, 2]]",1,34,0,2,16578,0,0,21095,2,7,0,0,2,d,5.3
0,0.0,2,0,Aston Villa,0,0,0.0,0,Bennett,0,0,Defender,0,Joe,32,0,756,0,120,0.0,0.0,0,0.0,0.0,0,Bennett,45,0,0,0.0,2,"[['Minutes played', 0, 0]]",0,35,0,0,0,0,0,56981,2,7,0,0,0,u,0.0
0,0.0,2,0,Aston Villa,0,0,0.0,0,Okore,0,0,Defender,1,Jores,191,0,1773,-1,303,0.1,0.1,0,0.0,0.0,0,Okore,44,0,0,0.0,2,"[['Minutes played', 0, 0]]",0,36,0,0,31,0,0,80502,2,7,0,0,0,a,0.0
0,0.0,2,0,Aston Villa,0,0,0.0,0,Luna,0,0,Defender,0,Antonio,4,0,232,0,37,0.0,0.0,0,0.0,0.0,0,Luna,45,0,0,0.0,2,"[['Minutes played', 0, 0]]",0,37,0,0,0,0,0,83564,2,7,0,0,0,u,0.0
0,0.0,2,0,Aston Villa,0,0,0.0,0,Donacien,0,0,Defender,0,Janoi,786,0,1706,0,434,0.2,0.2,0,0.0,0.0,0,Donacien,40,0,0,0.0,2,"[['Minutes played', 0, 0]]",0,38,0,0,111,0,0,154936,2,7,0,0,0,a,0.0
0,1.0,2,0,Aston Villa,0,2,4.3,13,Senderos,2,45,Defender,0,Philippe,38067,270,7000,0,2863,1.7,1.7,53,4.3,2.9,0,Senderos,45,0,0,4.3,2,"[['Minutes played', 90, 2]]",1,39,0,2,2938,1,0,16854,2,7,0,0,0,a,4.3
0,0.5,2,0,Aston Villa,0,2,2.7,8,Delph,2,25,Midfielder,0,Fabian,9670,270,11154,0,3473,1.6,1.6,37,2.7,1.6,0,Delph,50,0,0,2.7,2,"[['Minutes played', 90, 2]]",1,40,0,2,1423,0,0,41823,3,7,0,0,0,a,2.7
0,0.5,2,0,Aston Villa,0,3,2.7,8,N'Zogbia,3,26,Midfielder,0,Charles,2909,194,2853,0,911,0.4,0.4,2,2.7,1.5,0,N'Zogbia,55,0,0,2.7,2,"[['Clean sheets', 1, 1], ['Minutes played', 63, 2]]",0,41,0,3,154,1,0,18737,3,7,0,0,0,a,2.7
0,0.0,2,0,Aston Villa,0,0,0.0,0,Gardner,0,0,Midfielder,0,Gary,574,0,3689,0,1001,0.2,0.2,0,0.0,0.0,0,Gardner,45,0,0,0.0,2,"[['Minutes played', 0, 0]]",0,42,0,0,17,0,0,77800,3,7,0,0,0,n,0.0
0,0.0,2,0,Aston Villa,0,0,0.0,0,El Ahmadi,0,0,Midfielder,1,Karim,6191,0,136293,-1,46498,7.3,7.3,0,0.0,0.0,0,El Ahmadi,44,0,0,0.0,2,"[['Minutes played', 0, 0]]",0,43,0,0,1683,0,0,39242,3,7,0,0,0,u,0.0
0,0.5,2,0,Aston Villa,0,2,2.3,7,Westwood,2,41,Midfielder,0,Ashley,779,270,5304,0,1456,0.6,0.6,36,2.3,1.4,0,Westwood,50,0,0,2.3,2,"[['Minutes played', 90, 2]]",1,44,0,2,94,1,0,60551,3,7,0,0,0,a,2.3
0,0.1,2,0,Aston Villa,0,0,0.3,1,Bacuna,0,-3,Midfielder,1,Leandro,179,9,4300,-1,926,0.2,0.2,-1,0.3,0.2,0,Bacuna,54,0,0,0.3,2,"[['Minutes played', 0, 0]]",0,45,0,0,14,0,0,74297,3,7,0,0,0,a,1.0
0,0.0,2,0,Aston Villa,0,0,0.0,0,Tonev,0,0,Midfielder,0,Aleksandar,4,0,387,0,71,0.0,0.0,0,0.0,0.0,0,Tonev,45,0,0,0.0,2,"[['Minutes played', 0, 0]]",0,46,0,0,0,0,0,57255,3,7,0,0,0,u,0.0
0,0.0,2,0,Aston Villa,0,0,0.0,0,Carruthers,0,0,Midfielder,0,Samir,3,0,64,0,10,0.0,0.0,0,0.0,0.0,0,Carruthers,45,0,0,0.0,2,"[['Minutes played', 0, 0]]",0,47,0,0,1,0,0,114042,3,7,0,0,0,u,0.0
0,0.0,2,0,Aston Villa,0,0,0.0,0,Johnson,0,0,Midfielder,0,Daniel,57,0,342,0,85,0.0,0.0,0,0.0,0.0,0,Johnson,45,0,0,0.0,2,"[['Minutes played', 0, 0]]",0,48,0,0,15,0,0,90590,3,7,0,0,0,n,0.0
0,0.1,2,0,Aston Villa,0,1,0.7,2,Grealish,1,6,Midfielder,0,Jack,811,36,1374,0,400,0.2,0.2,6,0.7,0.4,0,Grealish,45,0,0,0.7,2,"[['Minutes played', 16, 1]]",0,49,0,0,211,0,0,114283,3,7,0,0,0,a,1.0
0,0.0,2,0,Aston Villa,0,0,0.0,0,Cole,0,0,Midfielder,0,Joe,127,0,650,0,194,0.1,0.1,0,0.0,0.0,0,Cole,55,0,0,0.0,2,"[['Minutes played', 0, 0]]",0,50,0,0,24,0,0,2060,3,7,0,0,0,a,0.0
1,0.7,2,0,Aston Villa,0,5,3.7,11,Richardson,5,43,Midfielder,0,Kieran,3313,239,2583,0,807,0.4,0.4,36,3.7,2.2,0,Richardson,50,0,0,3.7,2,"[['Assists', 1, 3], ['Minutes played', 74, 2]]",1,51,0,2,1115,0,0,15073,3,7,0,0,0,a,3.7
0,0.7,2,1,Aston Villa,0,8,3.7,11,Agbonlahor,8,51,Forward,0,Gabriel,7699,264,21763,0,4556,1.9,1.9,27,3.7,2.0,0,Agbonlahor,55,0,0,3.7,2,"[['Bonus', 2, 2], ['Minutes played', 84, 2], ['Goals scored', 1, 4]]",1,52,0,2,2399,1,0,27450,4,7,0,0,2,a,3.7
1,1.3,2,2,Aston Villa,0,12,7.3,22,Weimann,12,84,Forward,-1,Andreas,119427,261,37453,1,11899,6.1,6.1,82,7.3,3.9,1,Weimann,56,0,-1,7.3,2,"[['Bonus', 3, 3], ['Assists', 1, 3], ['Minutes played', 90, 2], ['Goals scored', 1, 4]]",1,53,1,2,38353,1,0,80979,4,7,0,0,6,a,7.3
0,0.0,2,0,Aston Villa,0,0,0.0,0,Benteke,0,0,Forward,1,Christian,264,0,2309,-1,437,0.2,0.2,0,0.0,0.0,0,Benteke,79,0,1,0.0,2,"[['Minutes played', 0, 0]]",0,54,-1,0,85,0,0,54861,4,7,0,0,0,i,0.0
0,0.0,2,0,Aston Villa,0,0,0.0,0,Kozák,0,0,Forward,0,Libor,26,0,66,0,13,0.0,0.0,0,0.0,0.0,0,Kozák,60,0,0,0.0,2,"[['Minutes played', 0, 0]]",0,55,0,0,5,0,0,51950,4,7,0,0,0,i,0.0
0,0.0,2,0,Aston Villa,0,0,0.0,0,Robinson,0,0,Forward,0,Callum,1066,0,1947,0,586,0.2,0.2,0,0.0,0.0,0,Robinson,45,0,0,0.0,2,"[['Minutes played', 0, 0]]",0,56,0,0,137,0,0,171975,4,7,0,0,0,a,0.0
0,0.1,2,0,Aston Villa,0,1,0.7,2,Bent,1,-3,Forward,2,Darren,2408,21,13451,-2,2825,0.8,0.8,3,0.7,0.4,0,Bent,48,0,1,0.7,2,"[['Minutes played', 6, 1]]",0,57,-1,0,479,0,0,10738,4,7,0,0,0,a,1.0
0,0.7,3,0,Burnley,0,6,3.3,10,Heaton,6,16,Goalkeeper,0,Tom,2885,270,1788,0,674,0.4,0.4,39,3.3,2.2,0,Heaton,45,0,0,3.3,3,"[['Clean sheets', 1, 4], ['Minutes played', 90, 2]]",4,58,0,1,2364,0,0,21205,1,90,4,0,0,a,3.3
0,0.0,3,0,Burnley,0,0,0.0,0,Gilks,0,0,Goalkeeper,0,Matt,11113,0,11813,0,3489,3.6,3.6,0,0.0,0.0,0,Gilks,40,0,0,0.0,3,"[['Minutes played', 0, 0]]",0,59,0,0,2755,0,0,8437,1,90,0,0,0,a,0.0
0,0.8,3,0,Burnley,0,8,3.3,10,Duff,8,17,Defender,0,Michael,41997,270,16437,0,5330,3.0,3.0,46,3.3,2.5,0,Duff,40,0,0,3.3,3,"[['Bonus', 2, 2], ['Clean sheets', 1, 4], ['Minutes played', 90, 2]]",4,60,0,1,30289,1,0,2907,2,90,0,0,2,a,3.3
0,0.7,3,0,Burnley,0,6,3.0,9,Shackell,6,22,Defender,0,Jason,750,270,1543,0,298,0.2,0.2,54,3.0,2.0,0,Shackell,45,0,0,3.0,3,"[['Clean sheets', 1, 4], ['Minutes played', 90, 2]]",4,61,0,1,417,0,0,15706,2,90,0,0,0,a,3.0
0,0.0,3,0,Burnley,0,0,0.0,0,Long,0,0,Defender,0,Kevin,1215,0,8145,0,1830,0.7,0.7,0,0.0,0.0,0,Long,40,0,0,0.0,3,"[['Minutes played', 0, 0]]",0,62,0,0,203,0,0,41674,2,90,0,0,0,a,0.0
0,0.0,3,0,Burnley,0,0,0.0,0,Lafferty,0,0,Defender,0,Daniel,659,0,5326,0,1334,0.5,0.5,0,0.0,0.0,0,Lafferty,40,0,0,0.0,3,"[['Minutes played', 0, 0]]",0,63,0,0,120,0,0,80788,2,90,0,0,0,a,0.0
0,0.7,3,0,Burnley,0,6,3.0,9,Mee,6,20,Defender,0,Ben,450,270,544,0,115,0.1,0.1,46,3.0,2.0,0,Mee,45,0,0,3.0,3,"[['Clean sheets', 1, 4], ['Minutes played', 90, 2]]",4,64,0,1,183,0,0,51927,2,90,0,0,0,a,3.0
0,0.6,3,0,Burnley,0,6,3.0,9,Trippier,6,24,Defender,0,Kieran,2323,270,12579,0,2138,1.1,1.1,41,3.0,1.8,0,Trippier,50,0,0,3.0,3,"[['Clean sheets', 1, 4], ['Minutes played', 90, 2]]",4,65,0,1,894,0,0,77794,2,90,0,0,0,a,3.0
0,0.4,3,0,Burnley,0,2,2.0,6,Marney,2,16,Midfielder,0,Dean,2689,270,5555,0,1911,0.5,0.5,45,2.0,1.3,0,Marney,45,0,0,2.0,3,"[['Yellow cards', 1, -1], ['Clean sheets', 1, 1], ['Minutes played', 90, 2]]",4,66,0,1,792,1,0,15982,3,90,0,0,0,a,2.0
0,0.5,3,0,Burnley,0,3,2.3,7,Jones,3,31,Midfielder,0,David,3384,270,1725,0,781,0.2,0.2,35,2.3,1.6,0,Jones,45,0,0,2.3,3,"[['Clean sheets', 1, 1], ['Minutes played', 90, 2]]",4,67,0,1,2474,0,0,19556,3,90,0,0,0,a,2.3
0,0.1,3,0,Burnley,0,0,0.3,1,Wallace,0,1,Midfielder,0,Ross,294,19,1584,0,428,0.1,0.1,-1,0.3,0.2,0,Wallace,45,0,0,0.3,3,"[['Minutes played', 0, 0]]",0,68,0,0,29,0,0,14161,3,90,0,0,0,a,1.0
0,0.8,3,1,Burnley,0,3,4.0,12,Arfield,3,34,Midfielder,0,Scott,11447,270,3942,0,1581,0.5,0.5,41,4.0,2.4,0,Arfield,50,0,0,4.0,3,"[['Clean sheets', 1, 1], ['Minutes played', 90, 2]]",4,69,0,1,3783,0,0,39158,3,90,0,0,0,a,4.0
0,0.1,3,0,Burnley,0,0,0.3,1,Kightly,0,1,Midfielder,1,Michael,201,21,1849,-1,438,0.1,0.1,1,0.3,0.2,0,Kightly,49,0,0,0.3,3,"[['Minutes played', 0, 0]]",0,70,0,0,20,0,0,15944,3,90,0,0,0,a,1.0
1,0.7,3,0,Burnley,0,3,3.3,10,Taylor,3,26,Midfielder,0,Matt,1622,227,1817,0,533,0.2,0.2,30,3.3,2.0,0,Taylor,50,0,0,3.3,3,"[['Clean sheets', 1, 1], ['Minutes played', 87, 2]]",4,71,0,1,330,0,0,3289,3,90,0,0,0,a,3.3
0,0.0,3,0,Burnley,0,0,0.0,0,Reid,0,-1,Midfielder,1,Steven,1127,3,5163,-1,1260,0.3,0.3,-1,0.0,0.0,0,Reid,44,0,1,0.0,3,"[['Yellow cards', 1, -1], ['Minutes played', 3, 1]]",0,72,-1,0,809,1,0,3332,3,90,0,0,0,a,0.0
0,0.3,3,0,Burnley,0,2,2.0,6,Ings,2,-5,Forward,1,Danny,5164,248,22559,-1,6786,1.5,1.5,7,1.5,1.0,0,Ings,59,0,1,2.0,3,"[['Minutes played', 77, 2]]",4,73,-1,1,578,0,0,84939,4,90,0,0,0,d,2.0
0,0.0,3,0,Burnley,0,0,0.0,0,Vokes,0,0,Forward,1,Sam,28,0,243,-1,51,0.0,0.0,0,0.0,0.0,0,Vokes,54,0,1,0.0,3,"[['Minutes played', 0, 0]]",0,74,-1,0,7,0,0,40399,4,90,0,0,0,i,0.0
0,0.2,3,0,Burnley,0,1,1.0,3,Barnes,1,1,Forward,0,Ashley,2057,43,4187,0,1230,0.4,0.4,6,1.0,0.7,0,Barnes,45,0,0,1.0,3,"[['Minutes played', 13, 1]]",0,75,0,0,384,0,0,44699,4,90,0,0,0,a,1.0
0,0.1,3,0,Burnley,0,0,0.3,1,Sordell,0,-1,Forward,1,Marvin,359,10,763,-1,176,0.1,0.1,2,0.3,0.2,0,Sordell,49,0,0,0.3,3,"[['Minutes played', 0, 0]]",0,76,0,0,38,1,0,66978,4,90,0,0,0,a,0.5
0,0.0,4,0,Chelsea,0,0,0.0,0,Cech,0,0,Goalkeeper,2,Petr,1114,0,62860,-2,8779,2.5,2.5,0,0.0,0.0,0,Cech,58,0,0,0.0,4,"[['Minutes played', 0, 0]]",0,77,0,0,125,0,0,11334,1,8,0,0,0,a,0.0
0,0.6,4,0,Chelsea,0,2,3.7,11,Courtois,2,47,Goalkeeper,0,Thibaut,88026,270,38863,0,15516,10.7,10.7,48,3.7,1.8,0,Courtois,60,0,0,3.7,4,"[['Saves', 4, 1], ['Minutes played', 90, 2], ['Goals conceded', 3, -1]]",4,78,0,1,19915,0,0,60772,1,8,9,0,0,a,3.7
0,0.5,4,0,Chelsea,0,1,3.0,9,Cahill,1,57,Defender,0,Gary,28340,270,108163,0,41761,18.5,18.5,54,3.0,1.4,0,Cahill,65,0,0,3.0,4,"[['Minutes played', 90, 2], ['Goals conceded', 3, -1]]",4,79,0,1,3565,0,0,19419,2,8,0,0,0,a,3.0
0,0.5,4,0,Chelsea,0,1,3.0,9,Terry,1,57,Defender,0,John,18218,270,92484,0,33825,11.1,11.1,61,3.0,1.4,0,Terry,65,0,0,3.0,4,"[['Minutes played', 90, 2], ['Goals conceded', 3, -1]]",4,80,0,1,2108,0,0,1718,2,8,0,0,0,a,3.0
1,1.3,4,2,Chelsea,0,7,9.7,29,Ivanovic,7,91,Defender,-2,Branislav,320571,270,23582,2,6598,20.6,20.6,95,9.7,4.0,2,Ivanovic,72,0,-1,9.7,4,"[['Minutes played', 90, 2], ['Goals scored', 1, 6], ['Goals conceded', 3, -1]]",4,81,1,1,128703,0,0,41135,2,8,0,0,5,a,9.7
0,0.6,4,0,Chelsea,0,1,3.7,11,Azpilicueta,1,45,Defender,0,Cesar,54272,270,55748,0,19846,9.3,9.3,66,3.7,1.8,0,Azpilicueta,60,0,0,3.7,4,"[['Minutes played', 90, 2], ['Goals conceded', 3, -1]]",4,82,0,1,10415,0,0,41328,2,8,0,0,2,a,3.7
0,0.0,4,0,Chelsea,0,0,0.0,0,Aké,0,0,Defender,1,Nathan,281,0,1036,-1,238,0.1,0.1,0,0.0,0.0,0,Aké,44,0,0,0.0,4,"[['Minutes played', 0, 0]]",0,83,0,0,38,0,0,126184,2,8,0,0,0,a,0.0
0,0.6,14,0,Southampton,0,2,3.0,9,Bertrand,2,34,Defender,0,Ryan,7903,270,6433,0,2205,1.4,1.4,43,3.0,1.8,0,Bertrand,50,0,0,3.0,14,"[['Minutes played', 90, 2]]",3,84,0,1,1363,0,0,40146,2,20,0,0,0,a,3.0
0,0.0,4,0,Chelsea,0,0,0.0,0,McEachran,0,0,Midfielder,0,Josh,26,0,419,0,65,0.0,0.0,0,0.0,0.0,0,McEachran,45,0,0,0.0,4,"[['Minutes played', 0, 0]]",0,85,0,0,0,0,0,88821,3,8,0,0,0,u,0.0
2,0.8,4,1,Chelsea,0,13,4.7,14,Ramires,13,49,Midfielder,0,Nascimento,8130,117,2456,0,977,0.5,0.5,48,4.7,2.5,1,Ramires,55,0,0,4.7,4,"[['Yellow cards', 1, -1], ['Bonus', 1, 1], ['Assists', 2, 6], ['Minutes played', 90, 2], ['Goals scored', 1, 5]]",3,86,0,0,7004,1,0,53392,3,8,0,0,1,a,7.0
1,0.4,4,0,Chelsea,0,4,1.7,5,Mikel,4,10,Midfielder,1,,9275,25,8501,-1,2597,0.8,0.8,16,1.7,1.1,0,Mikel,44,0,0,1.7,4,"[['Assists', 1, 3], ['Minutes played', 16, 1]]",1,87,0,0,7214,0,0,28495,3,8,0,0,0,a,2.5
0,0.0,4,0,Chelsea,0,0,0.0,0,Piazon,0,0,Midfielder,0,Lucas,1,0,20,0,2,0.0,0.0,0,0.0,0.0,0,Piazon,50,0,0,0.0,4,"[['Minutes played', 0, 0]]",0,88,0,0,0,0,0,111565,3,8,0,0,0,u,0.0
